"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "MS SQL", "HTML", "comment", "blank", "total"
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\StudyPlan\StudyPlanPage.jsx", "JavaScript JSX", 0, 0, 0, 436, 0, 0, 0, 0, 28, 36, 500
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\StudySessions\StudySessionCreate.jsx", "JavaScript JSX", 0, 0, 0, 350, 0, 0, 0, 0, 16, 28, 394
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\StudySessions\StudySessionEdit.jsx", "JavaScript JSX", 0, 0, 0, 403, 0, 0, 0, 0, 19, 35, 457
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\pages\StudySessions\StudySessionList.jsx", "JavaScript JSX", 0, 0, 0, 465, 0, 0, 0, 0, 27, 41, 533
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\store\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 8, 12, 84
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\store\ThemeContext.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\AnimatedBackground.jsx", "JavaScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 5, 6, 77
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\AnimatedButton.jsx", "JavaScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 1, 5, 73
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\AnimatedIcon.jsx", "JavaScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 1, 8, 63
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\AnimatedInput.jsx", "JavaScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 5, 8, 96
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\AnimatedSelect.jsx", "JavaScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 5, 8, 87
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\ComingSoonCard.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\DashboardHeader.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 4, 8, 56
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\EmailInput.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 1, 5, 61
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\GlassCard.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 2, 6, 52
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\PasswordInput.jsx", "JavaScript JSX", 0, 0, 0, 123, 0, 0, 0, 0, 2, 10, 135
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\StatsCard.jsx", "JavaScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 1, 5, 72
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\ThemeToggle.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 2, 6, 48
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\WelcomeCard.jsx", "JavaScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 63
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\ui\index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 4, 21
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\utils\aiCache.js", "JavaScript", 0, 0, 107, 0, 0, 0, 0, 0, 61, 33, 201
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\utils\cn.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\utils\errorHandler.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 0, 27, 19, 125
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\utils\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\src\utils\pdfGenerator.js", "JavaScript", 0, 0, 250, 0, 0, 0, 0, 0, 18, 52, 320
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\tailwind.config.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 5, 1, 104
"c:\Users\bm123\Documents\VSCode\AceIt\frontend\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 8406, 3321, 8431, 11305, 13, 2, 586, 16, 2437, 3347, 37864
